camp,uid,address_2026,events_2026,talks_2026,parties_2026,website,instagram,facebook,soundcloud,youtube,email,hometown,accepting_campers,publishes_lineup,official_2026
Camp Bangers Only,a1XVI00000FMjAj2AL,10:00 & E,0,0,0,http://www.campbangersonly.com,,,,,redacted@example.invalid,Truckee,,,yes
Catmandu,a1XVI00000FMjYw2AL,4:15 & D,0,0,0,https://campcatmandu.com,,,,,,San Francisco,,,yes
No Adults Detected,a1XVI00000FMjc92AD,9:15 & F,0,0,0,,,,,,,New York,,,yes
ConTent,a1XVI00000FMjtt2AD,9:30 & E,0,0,0,,,CampContent,,,,Brooklyn,,,yes
Very Inappropriate People,a1XVI00000FMk5B2AT,4:45 & Esp,0,0,0,,,,,,,Las Vegas,,,yes
Miki Beach,a1XVI00000FMkDF2A1,10:00 & F,0,0,0,https://www.mikibeach.org/,mikibeachcamp,mikimaumusic,mikimaumusic,UC1tH6ik5W0IPmkdoR7eccag,,Miami,yes,yes,yes
Booty Worship,a1XVI00000FMkLJ2A1,7:30 & C,0,0,0,,bootyworship.brc,,,,redacted@example.invalid,Berkeley,yes,,yes
The Shrimp Ranch,a1XVI00000FMkd32AD,4:15 & F,0,0,0,,,,,,redacted@example.invalid,Oakland CA,,,yes
Alchemy Stop,a1XVI00000FMkef2AD,5:00 & F,0,0,0,https://www.alchemystop.org,,,,,,San Francisco,,,yes
Water Temple,a1XVI00000FMlxJ2AT,7:30 & F,0,0,0,,,,,,redacted@example.invalid,Jackson Hole & San Diego,yes,,yes
Jungle Oddity,a1XVI00000FMmGf2AL,7:30 & D,0,0,0,,,,,,redacted@example.invalid,Nevada City,yes,,yes
BigFrankEnergy,a1XVI00000FMmLV2A1,4:15 & C,0,0,0,,,,,,,San Francisco,yes,,yes
CrazyCamera & Christmas Every Day,a1XVI00000FMmOj2AL,8:15 & F,0,0,0,,,CampCrazyCamera,,,,San Diego,,,yes
Gaian Airship,a1XVI00000FMnkb2AD,3:15 & D,0,0,0,,https://www.instagram.com/gaianairhip,,,,,"Ibiza, Spain",yes,,yes
Highku,a1XVI00000FMnnp2AD,5:45 & C,0,0,0,,,,,,,Oakland,yes,,yes
Cicadia,a1XVI00000FMnz72AD,7:15 & E,0,0,0,,https://www.instagram.com/cicadia_ut?igsh=MTBla282em43b3NOZA==,,,,redacted@example.invalid,Salt Lake City,,,yes
ReEntry Station,a1XVI00000FMsKT2A1,4:45 & G,0,0,0,,,,,,,Tulum,,,yes
Mimosa,a1XVI00000FMvgX2AT,3:45 & B,0,0,0,,,,,,,San Francisco,,,yes
Mary E's Lavender Hand Wash,a1XVI00000FMvlN2AT,5:15 & E,0,0,0,,,,,,,Reno,,,yes
adult playground,a1XVI00000FMycn2AD,9:45 & E,0,0,0,,,,,,,"Long Island NY ,",yes,,yes
Camp XUZA,a1XVI00000FNGzV2AX,9:15 & J,0,0,0,,xuzaartcar,,,,redacted@example.invalid,LAS VEGAS,yes,,yes
Fjörgyn's Lair,,3:15 & F,0,0,0,,,00FoF00,,,redacted@example.invalid,Carson City,,,
Camp Questionmark,a1XVI00000FNJyz2AH,2:00 & Esp,0,0,0,http://campquestionmark.com,,,,,,"Bay Area, Cali",,,yes
Garage Mahal,a1XVI00000FNMFJ2A5,9:15 & G,0,0,0,,,,,,,San Francisco,,,yes
Pacific,a1XVI00000FNQHJ2A5,3:45 & A,0,0,0,https://www.pacific-neptuneschariot.com/,,,,,redacted@example.invalid,Albany,yes,,yes
Dilla's Den,a1XVI00000FNQNl2AP,3:15 & F,0,0,0,,https://www.instagram.com/quesadilla_armadilla/,,,,,San Diego,,,yes
Cirkus Freaks,a1XVI00000FNQVp2AP,8:15 & D,0,0,0,,,,,,redacted@example.invalid,Seattle,,,yes
Chivo Loco,a1XVI00000FNQij2AH,2:15 & D,0,0,0,,,,,,,Miami,,,yes
Rebel Camp,a1XVI00000FNTqH2AX,5:15 & F,0,0,0,https://rebelcampemergencyservices.org/,,,,,redacted@example.invalid,Arvada,,,yes
Rocket 'n Roll,a1XVI00000FNTtV2AX,6:15 & E,0,0,0,,,,,,redacted@example.invalid,Lotus,,,yes
Skyting Hq,a1XVI00000FNabe2AD,3:45 & E,0,0,0,,,,,,redacted@example.invalid,"Bolinas, CA",,,yes
Happy Hanuman,a1XVI00000FNm4v2AD,7:15 & F,0,0,0,,,,,,redacted@example.invalid,"Fernley, NV",,,yes
Ray's Fix It,a1XVI00000FNqy92AD,6:15 & D,0,0,0,,,,,,,Summersville,,,yes
Turbaza Chayka,a1XVI00000FO5CP2A1,6:45 & C,0,0,0,,,,,,,San Francisco,,,yes
Camp Tell You,a1XVI00000FO5Qv2AL,5:45 & C,0,0,0,,,,,,,Los Angeles,yes,,yes
UniverseCity,a1XVI00000FOHQT2A5,7:15 & A,0,0,0,https://brcuniversecity.org,,,,,redacted@example.invalid,Brisbane,,,yes
Pleasant Camp,a1XVI00000FOPuH2AX,4:45 & G,0,0,0,,,,,,,San Francisco,,,yes
Hammered and Sickled,a1XVI00000FOauX2AT,9:15 & E,0,0,0,,,,,,redacted@example.invalid,Walnut Creek,,,yes
BAAAHS Station,a1XVI00000FObFV2A1,7:00 & F,0,0,0,http://baaahs.org,,,,,redacted@example.invalid,San Francisco,yes,,yes
The Balls Depot,a1XVI00000FObll2AD,2:30 & C,0,0,0,,,,,,,Denver,,,
Playa Art Park Support,a1XVI00000FOboz2AD,6:30 & D,0,0,0,,,,,,redacted@example.invalid,Oakland,,,yes
Mesa,a1XVI00000FOfuD2AT,9:30 & Esp,0,0,0,https://mesacamp.us,,,,,redacted@example.invalid,Los Angeles,yes,,yes
Raditude,a1XVI00000FOyiN2AT,6:00 & Esp,0,0,0,,,,,,redacted@example.invalid,Pleasant Valley,yes,,yes
Vitruvian,a1XVI00000FP0k92AD,CC@ 1:45,0,0,0,,camp_vitruvian,,,,redacted@example.invalid,Los Angeles,yes,,yes
Raccoons,a1XVI00000FP3Jp2AL,6:00 & F,0,0,0,https://thejack.notion.site/About-the-camp-8686768e03e14593be42b83b58497a3f,,,,,redacted@example.invalid,Vilnius,yes,,yes
Chop Shop,a1XVI00000FP7ld2AD,8:00 & E,0,0,0,,,,,,redacted@example.invalid,Flagstaff,yes,,yes
Favela Culture,a1XVI00000FP9M12AL,9:45 & I,0,0,0,,favela_artcar,,,,redacted@example.invalid,São Paulo,,,yes
Golden Gate Project,a1XVI00000FP9Yv2AL,10:00 & H,0,0,0,,golden.gateproject,,,,redacted@example.invalid,Reno,yes,,yes
Rustic WerQ Ranch,a1XVI00000FP9fN2AT,6:45 & D,0,0,0,,,,,,,Austin Texas,,,yes
Burning Questions,a1XVI00000FPABd2AP,4:00 & B,0,0,0,,,,,,,West Coast,,,yes
Fire Camp,a1XVI00000FPCmv2AH,7:30 & Esp,0,0,0,,,,,,redacted@example.invalid,Marysville,,,yes
Camp Kinetic,a1XVI00000FPDO12AP,3:00 & E,0,0,0,http://campkinetic.org,campkinetic,2008,,,redacted@example.invalid,Los Angeles,,yes,yes
Snarket,a1XVI00000FPE2L2AX,3:00 & B@ 9:45,0,0,0,,dabrodega,,,,redacted@example.invalid,"Brooklyn, New York",yes,,yes
Rootist Lounge,a1XVI00000FPSQH2A5,3:15 & C,0,0,0,,,rootistlounge,,,redacted@example.invalid,Las Vegas,yes,,yes
Swing City,a1XVI00000FPT1N2AX,9:00 & D,0,0,0,https://scbrc.us/,,,,,redacted@example.invalid,Santa Monica,yes,,yes
Storytime Friends,a1XVI00000FPTe52AH,2:45 & C,0,0,0,https://antonjs.notion.site/Storytime-MV-366fd7b37c43462e96c3f94eaa21da2f,,,,,redacted@example.invalid,San Francisco,,,yes
Wild Horses support camp,a1XVI00000FPWAX2A5,4:45 & F,0,0,0,,,,,,redacted@example.invalid,Reno,,,yes
Hush Hush Pony Barn,a1XVI00000FPdjt2AD,3:45 & C,0,0,0,,,,,,,Nevada City,,,yes
Mindwerk,a1XVI00000FQ4tl2AD,4:15 & D,0,0,0,,,,,,,Redwood City,yes,,yes
From Mars With Love,a1XVI00000FQ5TF2A1,9:15 & E,0,0,0,,,,,,,Oakland,,,yes
Humble Be Art cars,a1XVI00000FQ9a52AD,9:45 & A,0,0,0,,,,,,redacted@example.invalid,FAIRFAX,,,yes
Transcend,a1XVI00000FQ9gX2AT,9:45 & C,0,0,0,,,,,,,Los Angeles,yes,,yes
Imagine Nation Art Lounge,a1XVI00000FQL1l2AH,2:00 & B,0,0,0,,,,,,,"Kramatorsk, Ukraine",,,yes
Organic Fruit & Veggie Camp,a1XVI00000FQOHN2A5,3:00 & J,0,0,0,http://www.organic-brc.com,,,,,redacted@example.invalid,Tokyo,yes,,yes
Nova Heaven,a1XVI00000FQOin2AH,9:45 & C,0,0,0,https://www.novaheaven.org/,,,,,,Tel Aviv,,,yes
Rum Amok,a1XVI00000FQtBV2A1,7:45 & C,0,0,0,,,,,,,Noumea,yes,,yes
Camp PtP - Papillio Ovum,a1XVI00000FRCXV2A5,4:45 & C,0,0,0,,,,,,,"Portland, Oregon",,,yes
Prairie Kids,a1XVI00000FRDoX2AX,6:45 & B,0,0,0,,,,,,,Fargo,,,yes
Camp THREAT,a1XVI00000FRSCT2A5,5:30 & A,0,0,0,,,,,,redacted@example.invalid,Portland Oregon,yes,,yes
Lost + Found,a1XVI00000FRVqH2AX,9:30 & D,0,0,0,,http://www.instagram.com/lostandfoundfriends,,,,redacted@example.invalid,California,yes,,yes
Xxx-mas,a1XVI00000FS33x2AD,9:00 & D,0,0,0,,,,,,redacted@example.invalid,Texas,,,yes
Camp Cul-de-Sac,a1XVI00000FS3rx2AD,3:15 & C,0,0,0,,,,,,,Brooklyn,,,yes
Bubble Camp,a1XVI00000FS3tZ2AT,5:45 & G,0,0,0,,,,,,redacted@example.invalid,San Francisco,yes,,yes
Alborz,a1XVI00000FS4b72AD,9:45 & E,0,0,0,https://www.campalborz.org,campalborz,,camp_alborz,campalborz,,New York,yes,,yes
Burning Globe,a1XVI00000FS6Rd2AL,8:45 & C,0,0,0,,,BurningGlobePublic,,,redacted@example.invalid,Los Angeles,,,yes
Kwalq Camp,a1XVI00000FS6t32AD,3:30 & A,0,0,0,http://totallylegitllc.com/clamp-camp/,,,,,redacted@example.invalid,Seattle,yes,yes,yes
Black Rock Brewery,a1XVI00000FS8Jl2AL,3:30 & A,0,0,0,,,,,,redacted@example.invalid,Salt Lake City,yes,,yes
Camp Babe,a1XVI00000FSKsn2AH,7:30 & H,0,0,0,,,,,,,"Asheville, NC",,,yes
Arctica Ice Sales,a1XVI00000FSXmn2AH,CC@ 8:00,0,0,0,http://arctica.burningman.org/,,pages,,,redacted@example.invalid,Iceland,,,yes
Arctica Ice Sales - Ice Cubed,a1XVI00000FSXmo2AH,3:00 & G@ 5:30,0,0,0,http://www.arctica.burningman.org,,,,,redacted@example.invalid,Iceland,,,yes
Arctica Ice Sales - Ice Nine,a1XVI00000FSXmp2AH,9:00 & G@ 4:30,0,0,0,http://www.arctica.burningman.org,,,,,redacted@example.invalid,Iceland,,,yes
Arctica Outpost,a1XVI00000FSXmq2AH,6:15 & J,0,0,0,,,,,,,BRC,,,yes
BLM/FNW Interpretive Camp,a1XVI00000FSXmt2AH,5:15 & Esp,0,0,0,https://www.blm.gov/,mypubliclands,BLMNational,,,redacted@example.invalid,Winnemucca,,,yes
Burner Express Bus Depot,a1XVI00000FSXn02AH,6:00 & I,0,0,0,http://burnerexpress.burningman.org,burningman,burningman,,,redacted@example.invalid,Black Rock City,,,yes
ESD Rampart,a1XVI00000FSXnB2AX,5:15 & Esp,0,0,0,https://www.crowdrx.org,crowdrx,,,,,San Leandro CA,,,yes
ESD Station 3:00,a1XVI00000FSXnC2AX,3:00 & C,0,0,0,,,,,,redacted@example.invalid,Marrowstone Island,,,yes
ESD Station 9:00,a1XVI00000FSXnD2AX,9:00 & C,0,0,0,,,,,,redacted@example.invalid,Glacier,,,yes
Fire Conclave Convergence,a1XVI00000FSXnJ2AX,6:00 & Esp,0,0,0,https://fireconclave.org,fireconclave,Thefireconclave,,,,Reno,,,yes
HOVerlandia,a1XVI00000FSXnN2AX,6:15 & I,0,0,0,http://www.burnerexpress.burningman.org,,,,,redacted@example.invalid,Black Rock City,,,yes
Media Mecca,a1XVI00000FSXnP2AX,6:15 & Esp,0,0,0,https://burningman.org/about/about-us/press-media/media_mecca/,burningman,burningman,,,redacted@example.invalid,Black Rock City,,,yes
Moop Map Hq,a1XVI00000FSXnS2AX,5:30 & Esp,0,0,0,,,,,,redacted@example.invalid,San Francisco,,,yes
Placement HQ,a1XVI00000FSXna2AH,5:45 & Esp,0,0,0,https://burningman.org/event/participate/camps/,burningman,burningman,,,redacted@example.invalid,,,,yes
Ranger Outpost Berlin,a1XVI00000FSXnf2AH,3:00 & C,0,0,0,https://rangers.burningman.org,,,,,redacted@example.invalid,Black Rock City,,,yes
Ranger Outpost Tokyo,a1XVI00000FSXng2AH,9:00 & C,0,0,0,https://rangers.burningman.org/,,,,,redacted@example.invalid,Black Rock City,,,yes
the black hole,a1XVI00000FSXnk2AH,5:45 & E,0,0,0,https://burningman.org/event/participate/volunteering/teams/gate/,burningman,burningman,,,redacted@example.invalid,San Francisco,,,yes
Waterworks,a1XVI00000FSXnp2AH,5:15 & Esp,0,0,0,,,,,,redacted@example.invalid,Esplanade at 5:20,,,yes
Yellow Bike Project,a1XVI00000FSXnq2AH,5:30 & D,0,0,0,,,,,,redacted@example.invalid,,,,yes
Pink Mammoth,a1XVI00000FSXwT2AX,9:00 & G@ 7:30,0,0,0,https://www.pinkmammoth.org/,pinkmammothsf,2008,pink-mammoth-official,,,San Francisco,,,yes
Camp of the Rising Buns,a1XVI00000FSeDB2A1,10:00 & B& B,0,0,0,,,,,,,San Francisco,,,yes
Sidequest Sideshow,a1XVI00000FSeUv2AL,6:45 & D,0,0,0,,https://www.instagram.com/sidequestsideshow/,,,,redacted@example.invalid,New York City,yes,,yes
Hungry Games,a1XVI00000FSwI92AL,6:45 & B,0,0,0,,,,,,,San Francisco,,,yes
Church of Chill,a1XVI00000FT7ez2AD,7:45 & D,0,0,0,,,,,,,Salt Lake City,,,yes
House of Sammich,a1XVI00000FT7tV2AT,7:15 & D,0,0,0,,,thegreatsammichride,,,,Eden,,,yes
Your New Friend,a1XVI00000FT7wj2AD,2:45 & A,0,0,0,,,,,,,Los Angeles,,,yes
Joey Glowey Bar,a1XVI00000FT7yL2AT,7:15 & B,0,0,0,,,,,,,"Omaha, Reno, Grass Valley",,,yes
Fat Panda,a1XVI00000FT81Z2AT,7:15 & F,0,0,0,,,,,,redacted@example.invalid,San,,,yes
Iron Monkeys,a1XVI00000FTD2r2AH,5:15 & C,0,0,0,https://www.ironmonkeyarts.org,ironmonkeyarts,IronMonkeyArts,,,redacted@example.invalid,Seatte,yes,,yes
Bat Haus,a1XVI00000FTD7h2AH,7:45 & D,0,0,0,,,BatHausArt,,,redacted@example.invalid,Vallejo,,,yes
Abraxas Camp,a1XVI00000FTD9J2AX,2:15 & H,0,0,0,,abraxasdragon,,,,redacted@example.invalid,San Diego,,,yes
Empire of Dirt,a1XVI00000FTDAv2AP,3:45 & A,0,0,0,https://formandreform.com/empire-of-dirt/,,formandreform,,jonsarriugarte,redacted@example.invalid,Oakland,,yes,yes
High Maintenance Entertainment,a1XVI00000FTRiX2AX,9:15 & H,0,0,0,https://highmaintenanceentertainment.odoo.com/,,,,,redacted@example.invalid,"Woodside, CA",yes,,yes
Colita de Rana,a1XVI00000FTkur2AD,9:15 & F,0,0,0,,https://www.instagram.com/la.rana.hypnotica/,,,,redacted@example.invalid,Alameda,,,yes
Yaass Daddy!,,7:45 & B,0,0,0,,,,,,,Seattle,,,yes
Snarky Marquee,a1XVI00000FTxGz2AL,5:30 & F,0,0,0,,,,,,redacted@example.invalid,La Pine,,,yes
Camp (Can't) Stop,a1XVI00000FUYEv2AP,8:00 & A,0,0,0,,,,,,,San Francisco,,,yes
Choo Choo,a1XVI00000FV2hd2AD,9:45 & F,0,0,0,,bipolarexpress.artcar,,,,redacted@example.invalid,Limassol,,,yes
Happy Seats,a1XVI00000FV6tJ2AT,3:45 & E,0,0,0,,,,,,,San Jose,yes,,yes
Read Write Draw Camp,a1XVI00000FV7UP2A1,4:45 & F,0,0,0,,,,,,,Mountain View,yes,,
Camp Fly,a1XVI00000FVNMH2A5,2:45 & C,0,0,0,https://campflyburningman.github.io/Web-Page/Camp-Fly-Preview.html,,,,,,Colorado and California,yes,,yes
Mouse Trap,a1XVI00000FVOev2AH,5:45 & F,0,0,0,,,,,,,Reno,,,yes
Thicc Vibez,a1XVI00000FVZIb2AP,9:45 & D,0,0,0,,thegivingtree_artcar,,,,redacted@example.invalid,Topaz,yes,,yes
Star Buds,a1XVI00000FW7aP2AT,3:45 & B,0,0,0,,,,,,,Berkeley,yes,,yes
Disco Mushroom,a1XVI00000FW80D2AT,9:15 & A,0,0,0,,https://www.instagram.com/alpine_artists_collective/,,,,redacted@example.invalid,Tahoe City,,,yes
Lizard,a1XVI00000FWB4X2AX,3:15 & A,0,0,0,http://www.keming-art.com,,,,,redacted@example.invalid,Wu Han   Shang Hai,yes,,yes
Arctic Court,a1XVI00000FWBe12AH,4:15 & D,0,0,0,,,,,,,Helsinki,,,yes
Flock of Donkeys,a1XVI00000FWBhF2AX,3:15 & F,0,0,0,,,,,,redacted@example.invalid,Reno,yes,,yes
Chair Camp,a1XVI00000FWBir2AH,9:45 & E,0,0,0,http://www.unrally.org,,,,,redacted@example.invalid,white salmon,,,yes
Dome Sweet Dome,a1XVI00000FWBxN2AX,3:45 & D,0,0,0,,,,,,,Los Angeles,,,yes
Charting the Uncharted,a1XVI00000FWByz2AH,2:45 & A,0,0,0,,,,,,redacted@example.invalid,Tulsa,,,yes
Lightning Bug Lounge,a1XVI00000FWsXh2AL,4:15 & D,0,0,0,,,,,,,Reno,,,yes
Acid On Ice,a1XVI00000FX6h72AD,8:45 & C,0,0,0,,,,,,,New York City,,,yes
Playacuda,a1XVI00000FXKH32AP,9:15 & F,0,0,0,,,,,,,Los Angeles,yes,,yes
Metamorphosis Energy Lab,a1XVI00000FXRIX2A5,7:45 & E,0,0,0,,,,,,,Austin,,,yes
Lookout! The Camp,a1XVI00000FXSbB2AX,2:45 & D,0,0,0,http://firelookout26.com,,,,,,Portland,,,yes
BlinkingManCamp97,a1XVI00000FXSkr2AH,5:15 & C,0,0,0,https://Blinkingmancamp.com,,,,,redacted@example.invalid,manhattan beach,,,yes
Luminary Camp,a1XVI00000FXWJp2AP,9:45 & E,0,0,0,,https://www.instagram.com/luminary_mv,,,,redacted@example.invalid,Alexandria,,,yes
Eitherlight,a1XVI00000FXhAP2A1,3:15 & E,0,0,0,,,,,,,San Juan,,,yes
Kalos Scopeo,a1XVI00000FXjTx2AL,,0,0,0,,,,,,,,,,yes
Mona Camp,a1XVI00000FXv8X2AT,6:15 & G,0,0,0,https://monaartfund.org,,,,,redacted@example.invalid,Berkeley,yes,,yes
Helios Hideout,a1XVI00000FXvgP2AT,9:15 & F,0,0,0,,,,,,,San Francisco,,,yes
Tree of Love,a1XVI00000FY8fF2AT,8:00 & E,0,0,0,,,,,,redacted@example.invalid,Amsterdam,yes,,yes
Strangelove,a1XVI00000FY9uf2AD,4:15 & B,0,0,0,,,,,,,San Francisco,,,yes
Mindseye Bonsai,a1XVI00000FYAHF2A5,6:15 & E,0,0,0,,,,,,redacted@example.invalid,Berlin,yes,,yes
Touch Glass,a1XVI00000FYAXN2A5,7:15 & D,0,0,0,,,,,,,San Francisco,,,yes
Renewables For Artists RAT HQ,a1XVI00000FYBgL2AX,2:45 & F,0,0,0,https://www.renewablesforartiststeam.org/home,,,,,redacted@example.invalid,"Washington, DC",,,yes
Camp Condundrum,a1XVI00000FYBlB2AX,5:15 & B,0,0,0,,,,,,redacted@example.invalid,Berkeley,,,yes
Water Suckers,a1XVI00000FYDa52AH,4:15 & C,0,0,0,,,,,,,San Francisco,yes,,yes
Sound Cabin,a1XVI00000FYIjR2AX,9:45 & G,0,0,0,,,,,,redacted@example.invalid,San Diego,yes,,yes
Enrichment.Institute,a1XVI00000FYOFN2A5,6:15 & F,0,0,0,https://enrichment.institute,,,,,redacted@example.invalid,"Torrance, California (SoCal)",yes,,yes
Dustmight,a1XVI00000FYPg52AH,3:15 & C,0,0,0,https://dustmight.camp/,,,,,,Vancouver and San Francisco,,,yes
Dinosaur King,a1XVI00000FYQ972AH,5:45 & C,0,0,0,,,,,,,California,yes,,yes
San Marco Square,a1XVI00000FYRmj2AH,9:15 & F,0,0,0,,https://www.instagram.com/sanmarcosquare?igsh=dHh3Z3QyamY4ZmRv&utm_source=qr,,,,redacted@example.invalid,San Diego,yes,,yes
Maxa,a1XVI00000FYRy12AH,8:30 & J,0,0,0,http://www.maxacamp.com,,,,,redacted@example.invalid,Mexico City,yes,,yes
Kosmic Korner,a1XVI00000FYVLh2AP,2:30 & A,0,0,0,,,,,,redacted@example.invalid,Denver,,,yes
Elsewhere Institute,a1XVI00000FYksb2AD,8:45 & A,0,0,0,https://faffe.art,,,,,redacted@example.invalid,Incline Vaillage,,,yes
Camp Kühloff,,3:15 & F,0,0,0,https://www.campkuhloff.org,,,,,redacted@example.invalid,Reno,,,
Ohm Home,a1XVI00000FaOft2AF,9:30 & I,0,0,0,http://ohmkar.com,ohm_kar,OHMkarbali,,,,Laguna Beach,,,yes
Playa Peace Project,a1XVI00000FaYKH2A3,9:15 & F,0,0,0,https://playapeaceproject.org/,,,,,redacted@example.invalid,San Francisco,,,yes
Tba,a1XVI00000FaYnJ2AV,2:30 & I,0,0,0,,,,,,,,,,yes
Camp Connection,a1XVI00000Faesj2AB,7:45 & C,0,0,0,http://camp-connection.org/,,,,,redacted@example.invalid,Boulder Colorado,yes,,yes
Coming Home,a1XVI00000FbACf2AN,2:45 & D,0,0,0,http://Lambinarts.com,,,,,redacted@example.invalid,Carson City,,,yes
BRCSPCA (anti-human society),a1XVI00000Fbpan2AB,3:45 & E,0,0,0,,,,,,redacted@example.invalid,oakland/san francisco,,,yes
As Above So At Camp,a1XVI00000FchrK2AR,5:15 & D,0,0,0,,,,,,redacted@example.invalid,"Oakland, CA",,,yes
The Pink Hole,a1XVI00000Fchxm2AB,6:15 & C,0,0,0,,,,,,,,,,yes
Navigate to YES,a1XVI00000FcpAX2AZ,2:15 & I,0,0,0,https://www.navigatetoyes.com/,,,,,redacted@example.invalid,Miami,yes,,yes
ARMÉ - Army of Love,,,0,0,0,,,,,,,,,,
Seashell Cartel,a1XVI00000FdM9h2AF,9:30 & J,0,0,0,http://ragnarokk.camp,,,,,redacted@example.invalid,Panama,,,yes
Ragnarokk,a1XVI00000Fe8r32AB,9:15 & J,0,0,0,,,,,,redacted@example.invalid,Denver,,,yes
Moonraker,a1XVI00000FedQD2AZ,4:45 & C,0,0,0,,,,,,redacted@example.invalid,Las Vegas,,,yes
The Makers Space,a1XVI00000Ff5sj2AB,2:45 & D,0,0,0,,,,,,,Twin falls,yes,,yes
KonaZona Coffee & Tiki Bar,a1XVI00000FfS7l2AF,6:15 & E,0,0,0,,,,,,redacted@example.invalid,Kona Hawaii,yes,,yes
Camp BYUS,a1XVI00000FgNfV2AV,7:15 & E,0,0,0,,,,,,,Lake Tahoe,,,yes
Airpusher Collective,a1XVI00000FgYFx2AN,9:15 & E,0,0,0,https://airpusher.org/,airpushercollective,2008,airpusher,,redacted@example.invalid,Oakland,yes,,yes
White Elephant Exchange,a1XVI00000Fh8ph2AB,3:45 & D,0,0,0,https://www.funkadelephant.com/,funkadelephant,2008,,,,San Francisco,yes,,yes
The Back Hole,a1XVI00000Fhhgz2AB,5:45 & F,0,0,0,https://gpe.burningman.org/,,,,,,Reno Nevada,,,yes
Terrapin Station,a1XVI00000FhjcL2AR,9:45 & G,0,0,0,,thegalacticterrapin,,,,redacted@example.invalid,Humboldt County,yes,,yes
Hooter Tooterville,a1XVI00000Fi00T2AR,4:15 & G,0,0,0,,,,,,,Kalama,,,yes
The G Spot,a1XVI00000FiEWT2A3,2:15 & H,0,0,0,,https://www.instagram.com/gspot.camp/,,,,redacted@example.invalid,Oakland,,,yes
42 Ramen,a1XVI00000FiPjd2AF,6:45 & D,0,0,0,,,,,,redacted@example.invalid,Salt Lake City,,,yes
Camp Fortress of Solitude,a1XVI00000FkAyE2AV,5:15 & F,0,0,0,,,,,,redacted@example.invalid,Reno,,,yes
Analog,a1XVI00000FlKqg2AF,8:15 & F,0,0,0,,,,,,,California Republic,,,yes
sunny side up,a1XVI00000FlbGP2AZ,8:15 & C,0,0,0,,,,,,,San Francisco,,,yes
Wild Tribe,a1XVI00000FnyFJ2AZ,9:15 & G,0,0,0,,https://www.instagram.com/wildtribecamp/,,,,redacted@example.invalid,Los Angeles,,,yes
AmberDust,a1XVI00000FoqVp2AJ,8:00 & F,0,0,0,https://amberdustcamp.wixsite.com/amber-dust-camp,wix,l.php,,,redacted@example.invalid,Los Angeles,,,yes
Holy Babel,a1XVI00000FpxS12AJ,5:15 & C,0,0,0,,,,,,,Atlanta,,,yes
The Mystical Grill,a1XVI00000FruY52AJ,5:15 & F,0,0,0,,https://www.instagram.com/themysticalgrill?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,,,,redacted@example.invalid,Rosario,yes,,yes
Harmonic Drift,a1XVI00000FsICE2A3,6:15 & D,0,0,0,https://www.harmonicdrift.org/,,,,,redacted@example.invalid,"Oakland, CA",,,yes
Camp ASL Support Services HUB,a1XVI00000FsuEI2AZ,5:45 & G,0,0,0,http://www.playaterps.us,,,,,redacted@example.invalid,"All over, north, and, South America",,,yes
D.F.C.B.(Don't Fckn' Care Bear),a1XVI00000Ft0ef2AB,9:45 & H,0,0,0,,,,,,redacted@example.invalid,Kalispell,,,yes
Davey Jones Locker Pirate Cove,a1XVI00000Fu3U12AJ,6:45 & E,0,0,0,,,,,,,Las vegas,yes,,yes
Resonance,a1XVI00000Fusl32AB,2:45 & F,0,0,0,https://resonancenetwork.org/projects/resonance-tree,,,,,redacted@example.invalid,"California, Indonesia, Australia, Mexico",,,yes
Icarus Camp,a1XVI00000FuuoT2AR,9:45 & G,0,0,0,,,,,,,New York City,,,yes
Tequila Bees,a1XVI00000FvEVR2A3,4:45 & G,0,0,0,,,,,,redacted@example.invalid,Salt Lake City,,,yes
Playa Pete's Plaza,,9:30 & H,0,0,0,,,groups,,,redacted@example.invalid,ALAMEDA,,,yes
Halloween Town BRC,a1XVI00000G1MLR2A3,2:15 & H,0,0,0,,,,,,,Rosemead,yes,,yes
Après Ski Injury,a1XVI00000FKacz2AD,,0,0,0,https://apresskiinjury.net/,,,,,redacted@example.invalid,Vienna,yes,,yes
Après-Ski,a1XVI00000FF3Hv2AL,,0,0,0,,,,,,,Verbier,,,yes
ARMÉ – Army of Love,a1XVI00000Fcqxp2AB,,0,0,0,http://armeoflove.com,,,,,redacted@example.invalid,Los Angeles,,,yes
Burning My Crêpe,a1XVI00000FLfXN2A1,,0,0,0,,,,,,redacted@example.invalid,France,yes,,yes
Camp Kühloff,a1XVI00000FZQlN2AX,,0,0,0,https://www.campkuhloff.org,,,,,redacted@example.invalid,Reno,,,yes
Fjörgyn’s Lair,a1XVI00000FNJCb2AP,,0,0,0,,,https://www.facebook.com/00FoF00,,,redacted@example.invalid,Carson City,,,yes
Giraffè Caffè,a1XVI00000FLJjl2AH,,0,0,0,,,,,,,Atherton,yes,,yes
Huǒ Fèng MV Support Camp,a1XVI00000FMQsr2AH,,0,0,0,,,,,,,Los Angeles,,,yes
Interaction Café,a1XVI00000FK1yb2AD,,0,0,0,,,,,,redacted@example.invalid,,,,yes
